id,seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp,fg_per_100_poss,fga_per_100_poss,fg_percent,x3p_per_100_poss,x3pa_per_100_poss,x3p_percent,x2p_per_100_poss,x2pa_per_100_poss,x2p_percent,ft_per_100_poss,fta_per_100_poss,ft_percent,orb_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,pts_per_100_poss,o_rtg,d_rtg
1402,31136,2024,5025,A.J. Green,NA,SG,24,2,NBA,MIL,56,0,614,6.5,15.3,0.423,5.4,13.2,0.408,1.1,2.1,0.519,1.3,1.5,0.895,0.7,4.3,5,2.3,0.7,0.3,0.9,3.8,19.7,122,120
1403,31137,2024,5026,A.J. Lawson,NA,SG,23,2,NBA,DAL,42,0,311,8.3,18.7,0.446,2,7.7,0.26,6.3,11,0.577,2.3,3.5,0.652,2.2,5.6,7.7,3.1,1.5,0.5,2.2,3.4,21,105,117
1404,31138,2024,5027,AJ Griffin,NA,SF,20,2,NBA,ATL,20,0,171,5,17.4,0.29,2.8,10.9,0.256,2.2,6.5,0.348,0.6,0.6,1,0.6,4.5,5,1.4,0.3,0.6,2.2,1.7,13.5,77,124
1405,31139,2024,4219,Aaron Gordon,NA,PF,28,10,NBA,DEN,73,73,2297,8.6,15.5,0.556,0.9,3,0.29,7.7,12.5,0.619,3.8,5.8,0.658,3.8,6.4,10.2,5.6,1.2,1,2.3,3.1,21.9,125,114
1406,31140,2024,4582,Aaron Holiday,NA,PG,27,6,NBA,HOU,78,1,1269,7.1,15.9,0.446,3.2,8.3,0.387,3.9,7.6,0.51,2.2,2.4,0.921,0.9,3.8,4.7,5.4,1.6,0.2,2,4.8,19.6,117,116
1407,31141,2024,4805,Aaron Nesmith,NA,SF,24,4,NBA,IND,72,47,1995,7.4,15,0.496,3.3,7.9,0.419,4.1,7.1,0.581,2.5,3.2,0.781,1.5,5,6.5,2.6,1.5,1.2,1.5,5.7,20.7,123,119
1408,31142,2024,4900,Aaron Wiggins,NA,SG,25,3,NBA,OKC,78,4,1228,8.3,14.8,0.562,2.4,4.9,0.492,5.9,9.8,0.598,2.2,2.8,0.789,2.3,4.9,7.3,3.4,2.2,0.7,2.2,3.6,21.2,125,113
1409,31143,2024,5109,Adam Flagler,NA,SG,24,1,NBA,OKC,2,0,14,3.4,24,0.143,3.4,20.6,0.167,0,3.4,0,0,0,NA,0,0,0,13.7,0,0,0,0,10.3,78,122
1410,31144,2024,5110,Adama Sanogo,NA,PF,21,1,NBA,CHI,9,0,66,10.6,20.4,0.519,0,0,NA,10.6,20.4,0.519,6,9.1,0.667,14.4,12.8,27.2,0,0.8,0,3.8,3.8,27.2,118,116
1411,31145,2024,4688,Admiral Schofield,NA,PF,26,4,NBA,ORL,23,0,84,5.9,15.3,0.385,3.5,9.4,0.375,2.4,5.9,0.4,0,1.2,0,1.8,8.3,10,4.1,0.6,0,2.9,5.3,15.3,95,114
1412,31146,2024,3734,Al Horford,NA,C,37,17,NBA,BOS,65,33,1740,6.1,11.9,0.511,3.1,7.3,0.419,3,4.6,0.658,0.7,0.9,0.867,2.3,9.4,11.7,4.8,1.1,1.8,1.4,2.6,16,135,111
1413,31147,2024,3982,Alec Burks,NA,SG,32,13,NBA,TOT,66,1,1212,8.4,22.9,0.369,5,13.3,0.376,3.5,9.6,0.36,5.8,6.7,0.868,1,5.1,6,3.5,1.1,0.5,1.9,3,27.7,111,120
1414,31148,2024,3982,Alec Burks,NA,SG,32,13,NBA,DET,43,0,901,8.5,21.7,0.394,5.3,13.2,0.401,3.3,8.5,0.384,6.5,7.2,0.903,0.9,5,5.9,3.6,1.1,0.6,1.7,3.4,28.8,118,121
1415,31149,2024,3982,Alec Burks,NA,SG,32,13,NBA,NYK,23,1,311,8.1,26.4,0.307,4.1,13.5,0.301,4.1,13,0.313,3.9,5.4,0.727,1.3,5.2,6.5,3.2,1.1,0.2,2.6,1.8,24.2,92,117
1416,31150,2024,4806,Aleksej Pokusevski,NA,PF,22,4,NBA,TOT,28,0,405,5.9,14.7,0.405,2.2,6.7,0.327,3.8,8,0.47,3.6,5,0.732,2.1,8.7,10.8,4.2,1.8,1.6,2.3,2.7,17.7,107,116
1417,31151,2024,4806,Aleksej Pokusevski,NA,PF,22,4,NBA,OKC,10,0,60,3.2,12.8,0.25,1.6,8.8,0.182,1.6,4,0.4,1.6,3.2,0.5,1.6,6.4,8,4,0.8,0.8,2.4,4,9.6,79,115
1418,31152,2024,4806,Aleksej Pokusevski,NA,PF,22,4,NBA,CHO,18,0,345,6.4,15,0.429,2.3,6.3,0.364,4.1,8.7,0.475,4,5.3,0.757,2.1,9.2,11.3,4.3,2,1.7,2.3,2.4,19.2,111,116
1419,31153,2024,4465,Alex Caruso,NA,SG,29,7,NBA,CHI,71,57,2040,6.2,13.2,0.468,3.3,8.1,0.408,2.9,5.1,0.563,1.8,2.3,0.76,1.5,5.2,6.7,6,2.9,1.7,2.5,4.4,17.5,119,113
1420,31154,2024,5111,Alex Fudge,NA,SF,20,1,NBA,TOT,6,0,40,7.2,17.9,0.4,1.2,6,0.2,6,12,0.5,2.4,2.4,1,4.8,1.2,6,0,3.6,0,2.4,2.4,17.9,95,115
1421,31155,2024,5111,Alex Fudge,NA,SF,20,1,NBA,LAL,4,0,14,3.4,20.4,0.167,0,6.8,0,3.4,13.6,0.25,6.8,6.8,1,6.8,0,6.8,0,0,0,3.4,3.4,13.6,73,124
1422,31156,2024,5111,Alex Fudge,NA,SF,20,1,NBA,DAL,2,0,26,9.2,16.6,0.556,1.8,5.5,0.333,7.4,11.1,0.667,0,0,NA,3.7,1.8,5.5,0,5.5,0,1.8,1.8,20.3,114,110
1423,31157,2024,4142,Alex Len,NA,C,30,11,NBA,SAC,48,0,444,5.5,8.9,0.617,0,0.3,0,5.5,8.5,0.641,2.2,3.7,0.588,5,9,14,5.5,1.2,3.6,3,7.2,13.1,123,111
1424,31158,2024,5028,Alondes Williams,NA,SG,24,2,NBA,MIA,7,0,16,6.2,24.9,0.25,0,12.5,0,6.2,12.5,0.5,3.1,3.1,1,0,3.1,3.1,0,0,3.1,6.2,6.2,15.6,50,115
1425,31159,2024,4904,Alperen Sengun,NA,C,21,3,NBA,HOU,63,63,2046,12.5,23.3,0.537,0.8,2.6,0.297,11.7,20.6,0.567,5.8,8.3,0.693,4.3,9.6,14,7.4,1.8,1.1,3.8,5,31.6,118,111
1426,31160,2024,5112,Amari Bailey,NA,PG,19,1,NBA,CHO,10,0,65,6.1,18.2,0.333,0.8,6.1,0.125,5.3,12.1,0.438,4.6,5.3,0.857,4.6,2.3,6.8,5.3,2.3,0,3,1.5,17.5,96,122
1427,31161,2024,5113,Amen Thompson,NA,SF,21,1,NBA,HOU,62,23,1388,8.4,15.6,0.536,0.3,2,0.138,8.1,13.6,0.595,3.7,5.4,0.684,5.2,9.1,14.3,5.7,2.7,1.3,3.1,4.9,20.7,118,109
1428,31162,2024,4690,Amir Coffey,NA,SF,26,5,NBA,LAC,70,13,1460,5.6,11.9,0.472,2.4,6.2,0.38,3.2,5.7,0.571,2.1,2.4,0.859,1,4,5,2.6,1.4,0.5,1.1,3.4,15.7,122,118
1429,31163,2024,4064,Andre Drummond,NA,C,30,12,NBA,CHI,79,10,1351,9.9,17.7,0.556,0,0.1,0,9.9,17.6,0.56,4.8,8,0.592,9.8,16.3,26.1,1.4,2.7,1.8,3,5.2,24.5,119,107
1430,31164,2024,5114,Andre Jackson Jr.,NA,SG,22,1,NBA,MIL,57,8,572,4.2,8.4,0.5,1.4,3.9,0.37,2.8,4.5,0.611,0.7,0.9,0.727,3.6,5.9,9.5,4.2,1.3,0.5,2.4,7.7,10.5,119,117
1431,31165,2024,5115,Andrew Funk,NA,SG,24,1,NBA,CHI,5,0,13,0,15.3,0,0,11.5,0,0,3.8,0,0,0,NA,0,0,0,0,3.8,3.8,0,0,0,0,112
1432,31166,2024,5029,Andrew Nembhard,NA,PG,24,2,NBA,IND,68,47,1697,7.2,14.5,0.498,1.7,4.8,0.357,5.5,9.8,0.567,1.3,1.6,0.804,1,2.9,3.9,7.8,1.8,0.2,2.8,4,17.4,114,121
1433,31167,2024,4223,Andrew Wiggins,NA,SF,28,10,NBA,GSW,71,59,1920,8.9,19.7,0.453,2.3,6.4,0.358,6.6,13.3,0.498,3.6,4.8,0.751,2.7,5.4,8.1,3,1.1,1,2.2,3.7,23.7,112,117
1434,31168,2024,4586,Anfernee Simons,NA,SG,24,6,NBA,POR,46,46,1582,11.2,26.1,0.43,4.9,12.6,0.385,6.4,13.5,0.472,5.1,5.6,0.916,0.7,4.5,5.2,8,0.7,0.2,3.9,3.1,32.4,113,121
1435,31169,2024,5116,Anthony Black,NA,PG,20,1,NBA,ORL,69,33,1164,4.9,10.5,0.466,1.6,4,0.394,3.3,6.5,0.51,2.1,3.4,0.613,1.4,4.5,5.9,3.9,1.5,0.9,2.4,4.7,13.4,108,113
1436,31170,2024,4066,Anthony Davis,NA,C,30,12,NBA,LAL,76,76,2700,12.6,22.6,0.556,0.5,1.9,0.271,12,20.7,0.582,7.4,9.1,0.816,4.2,12.7,16.9,4.7,1.6,3.1,2.8,3.1,33,124,109
1437,31171,2024,4808,Anthony Edwards,NA,SG,22,4,NBA,MIN,79,78,2770,12.8,27.8,0.461,3.4,9.5,0.357,9.4,18.3,0.515,7.5,9,0.836,0.9,6.7,7.7,7.2,1.8,0.7,4.3,2.5,36.6,112,110
